(((恶性高血压:疾病,条件为,发病数周至数月后:时间),导致,少尿:症状),导致,终末期肾病:疾病)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症,二、恶性小动脉性肾硬化症,【临床表现】
(恶性高血压:疾病,导致,((((血尿:症状,与,蛋白尿:症状),与,管型尿:症状),与,无菌性白细胞尿:症状),与,肾功能进行性恶化:症状))	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症,二、恶性小动脉性肾硬化症,【临床表现】
((恶性高血压:疾病,导致,恶性小动脉性肾硬化症:疾病),导致,((肾小球硬化:疾病,与,肾小管萎缩:症状),与,肾间质纤维化:症状))	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症,二、恶性小动脉性肾硬化症,【病理】
(小叶间动脉:部位,与,弓状动脉:部位)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症,二、恶性小动脉性肾硬化症,【病理】
(恶性高血压:疾病,导致,恶性小动脉性肾硬化症:疾病)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症,二、恶性小动脉性肾硬化症,【病因】
(恶性小动脉性肾硬化症:疾病,是一种,小动脉性肾硬化症:疾病)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症
(良性小动脉性肾硬化症:疾病,是一种,小动脉性肾硬化症:疾病)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症
(高血压:症状,并发症,良性小动脉性肾硬化症:疾病)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症,一、良性小动脉性肾硬化症,【临床表现】
((良性小动脉性肾硬化症:疾病,导致,(肾小管浓缩功能障碍:症状,然后,(蛋白尿:症状,与,肾小球功能渐进受损:症状))),导致,终末期肾病:疾病)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症
(夜尿多:症状,是一种,肾小管浓缩功能障碍:症状)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症,一、良性小动脉性肾硬化症,【临床表现】
(良性小动脉性肾硬化症:疾病,导致,入球小动脉玻璃样变:症状)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症
(良性小动脉性肾硬化症:疾病,导致,((肾小球硬化:疾病,与,肾小管萎缩:症状),与,肾间质纤维化:症状))	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症
((高血压:症状,条件为,5～10年:时间),导致,良性小动脉肾硬化症:疾病)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症,一、良性小动脉性肾硬化症,【病因】
((良性小动脉性肾硬化症:疾病,或,恶性小动脉性肾硬化症:疾病),是一种,小动脉性肾硬化症:疾病)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症
(高血压肾硬化症:疾病,导致,终末期肾病:疾病)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症
(恶性小动脉性肾硬化症:疾病,导致,肾衰竭:疾病)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症,二、恶性小动脉性肾硬化症,【防治】
((入球小动脉:部位,或,小叶间动脉:部位),或,弓状动脉:部位)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症,二、恶性小动脉性肾硬化症,【病理】
(恶性高血压:疾病,导致,恶性小动脉性肾硬化症:疾病)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症,二、恶性小动脉性肾硬化症,【病因】
(小动脉性肾硬化症:疾病,是一种,肾血管疾病:疾病)	5-10-3-小动脉性肾硬化症,内科学
(肾血管疾病:疾病,是一种,泌尿系统疾病:疾病)	5-10-3-小动脉性肾硬化症,内科学
(高血压肾硬化症:疾病,同义词,小动脉性肾硬化症:疾病)	5-10-3-小动脉性肾硬化症,内科学,第五篇泌尿系统疾病第十章肾血管疾病第三节小动脉性肾硬化症,第三节小动脉性肾硬化症
