((IgA肾病:疾病,条件为,新月体性肾炎:疾病),导致,急性肾衰竭:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【治疗与预后】,（四）急性肾衰竭
(IgA肾病:疾病,导致,肾病综合征:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【治疗与预后】,（三）肾病综合征
(蛋白尿:症状,导致,慢性肾衰竭:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【治疗与预后】,（二）蛋白尿
(恶性高血压:疾病,是一种,高血压:症状)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【治疗与预后】,（五）慢性肾小球肾炎
(IgA肾病:疾病,导致,(无:否定词,否定修饰,肝硬化:疾病))	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【鉴别诊断】,（三）继发性IgA沉积为主的肾小球疾病,2.慢性酒精性肝硬化
(酒精性肝硬化:疾病,导致,肝硬化:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【鉴别诊断】,（三）继发性IgA沉积为主的肾小球疾病,2.慢性酒精性肝硬化
(过敏性紫癜肾炎:疾病,导致,(((皮肤紫癜:症状,与,关节肿痛:症状),与,腹痛:症状),与,黑便:疾病))	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【鉴别诊断】,（三）继发性IgA沉积为主的肾小球疾病
(慢性酒精性肝硬化:症状,是一种,继发性IgA沉积为主的肾小球疾病:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【鉴别诊断】,（三）继发性IgA沉积为主的肾小球疾病
(过敏性紫癜肾炎:疾病,是一种,继发性IgA沉积为主的肾小球疾病:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【鉴别诊断】,（三）继发性IgA沉积为主的肾小球疾病
(持续性镜下血尿:症状,调查病史,阳性血尿家族史:病史)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【鉴别诊断】,（二）薄基底膜肾病
((IgA肾病:疾病,导致,急性肾炎综合征:疾病),导致,病情反复:症状)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【鉴别诊断】,（一）链球菌感染后急性肾小球肾炎
(链球菌感染后急性肾小球肾炎:疾病,导致,自愈倾向:症状)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【鉴别诊断】
(原发性IgA肾病:疾病,导致,(无:否定词,否定修饰,((肝硬化:疾病,或,过敏性紫癜:疾病),或,继发性IgA沉积疾病:疾病)))	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【诊断与鉴别诊断】
(IgA肾病:疾病,导致,((肾小球源性血尿:症状,或,混合性血尿:症状),或,蛋白尿:症状))	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
((IgA肾病:疾病,导致,恶性高血压:疾病),导致,继发性肾实质性恶性高血压:症状)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
(IgA肾病:疾病,导致,(蛋白尿:症状,与,水肿:症状))	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
(IgA肾病:疾病,导致,肾病综合征:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
((((IgA肾病:疾病,条件为,肉眼血尿:症状),导致,急性肾衰竭:疾病),导致,肾功能进行性恶化:症状),导致,(高血压:症状,与,血肌酐升高:症状))	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
(肉眼血尿:症状,导致,(((无:否定词,否定修饰,低蛋白血症:疾病),或,肾功能正常:症状),或,轻度异常:症状))	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
(无症状性血尿和（或）蛋白尿:症状,是一种,(IgA肾病:疾病,导致,(轻度蛋白尿:症状,与,(无:否定词,否定修饰,((水肿:症状,与,高血压:症状),与,肾功能减退:症状)))))	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
(((IgA肾病:疾病,条件为,上呼吸道感染:疾病),导致,突发性肉眼血尿:症状),导致,镜下血尿:症状)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
((上呼吸道感染:疾病,或,(((消化道:部位,与,肺部:部位),与,泌尿道:部位),与,感染:疾病)),是一种,感染:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
((上呼吸道感染:疾病,或,(((消化道:部位,与,肺部:部位),与,泌尿道:部位),与,感染:疾病)),或,IgA肾病:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
((咽炎:疾病,或,扁桃体炎:疾病),是一种,上呼吸道感染:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
(IgA肾病:疾病,条件为,(青少年:年龄,与,男性:人群分类))	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
(IgA肾病:疾病,导致,血尿:症状)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
(原发性肾小球疾病:疾病,导致,血尿:症状)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【临床表现】
(((((((轻微病变性肾小球肾炎:疾病,或,局灶增生性肾小球肾炎:疾病),或,毛细血管内增生性肾小球肾炎:疾病),或,系膜毛细血管性肾小球肾炎:疾病),或,新月体性肾小球肾炎:疾病),或,局灶性节段性肾小球硬化:症状),或,增生硬化性肾小球肾炎:疾病),导致,IgA肾病:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【病理】
(((((((轻微病变性肾小球肾炎:疾病,或,局灶增生性肾小球肾炎:疾病),或,毛细血管内增生性肾小球肾炎:疾病),或,系膜毛细血管性肾小球肾炎:疾病),或,新月体性肾小球肾炎:疾病),或,局灶性节段性肾小球硬化:症状),或,增生硬化性肾小球肾炎:疾病),是一种,肾小球肾炎:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【病理】
((呼吸道感染:疾病,或,消化道感染:症状),导致,(IgA肾病:疾病,或,肉眼血尿:症状))	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病,【发病机制】
(原发性肾小球疾病:疾病,是一种,肾小球疾病:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病
(IgA肾病:疾病,是一种,原发性肾小球疾病:疾病)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病
(IgA肾病:疾病,导致,肾小球源性血尿:症状)	5-5--IgA　肾　病,内科学,第五篇泌尿系统疾病第五章IgA肾病,第五章IgA肾病
(IgA肾病:疾病,是一种,泌尿系统疾病:疾病)	5-5--IgA　肾　病,内科学
